ActionName,Target,Parameter
SpriteChange,3,노아일상표정2`0`-7.8`1,7
 ,노아's view,
[노아],『...』,노아일상표정2
SmoothSpriteChange,3,노아일상표정1
[노아],『오늘은 특히 해일이 강했었네... 앞으로 점점 더 강해질지도 몰라』,노아일상표정1
[노아],『만약 그렇게 된다면... 나도 저 튼튼한 제방을 쌓을 수 밖에 없겠지』,노아일상표정1
SmoothSpriteChange,3,노아의기소침
[노아],『붉은 여왕과 진화 경쟁. 격동하는 세계에서 누구도 같은곳에 있으려면 쉴새없이 달려야한다지』,노아의기소침
SmoothSpriteChange,3,null
 ,그렇게 더 튼튼한 제방을 쌓기위해서 더 많은 책을 읽었다,
 ,재료공학에 대한 책도 읽었는데, 이걸로 콘크리트의 배합을 더 좋게 할 수 있지 않을까 생각했었다,
 ,책은 놀라울만큼 알기 쉬운 문체로 쓰여있어서 작가가 독자를 생각하고 있다는 느낌이 들었다,
 ,그러다 문득 책 뒤에서 그 저자 이름을 보고 조금 놀란다,
 ,'마녀 모르가나 저',
[노아],『...』,노아일상표정2
[노아],『모르가나...』,노아일상표정1
LetterBox,1`2,On
 ,"몇번을 발음해봐도 '노아'라는 이름보다 훨씬 더 예쁜이름인데, 본인은 조금 싫어하는 눈치란 말이야",
 ,"나보다 한살 어린데도 불구하고, 바다의 여러가지를 탐구하고 정리해 책을 쓸 정도로 똑똑한",
 ,"자랑스런 동생의 이름을 쓰다듬으며 옛 기억속에 잠겨본다",
Transition,,fade
SpriteChange,0,심해2`0`0`3
 ,첫만남은 내가 심해층에서 길을 잃었을 때였다,
 ,호기심에 왕궁을 튀쳐나와 온 심해였지만\n상상이상으로 어둡고 추운 곳이라 곧장 길을 잃고 무서워졌다,
SpriteChange,3,노아으앙2`0`0`1.5
[노아],『이곳은... 너무 어두워요. 누구 없나요?』,노아으앙2
[노아],『이곳은 물의 흐름도 거의 느껴지지 않고, 아무것도 보이지 않으니, 어디로 가고 있는지 도저히 모르겠어...』,노아으앙2
SmoothSpriteChange,3,null
 ,"그러니깐, 한치앞도 보이지 않는 심해층에서 길을 잃어 두려워하며",
SpriteChange,3,몰가일상표정`0`-6`1.3
 ,"무작정 앞으로, 앞으로 가다가 바로 눈앞에서 모르가나를 만난 것은",
 ,"그러한 확률이 몇일까 계산하는 것보다 우선, 운명이라고 생각해버린다는 이야기다",
Transition,,fade
SpriteChange,3,몰가일상표정`0`-7.8`2
 ,서로 비슷한 나이였고 우리는 금방 친해졌다. 모르가나는 나보다 한살 어렸었는데 훨씬 더 영리하고 지식이 많았다,
[모르가나], "『여기는 '저층수역'이에요. 남쪽 바다로부터 흘러들어온 차가운 물이 강처럼 땅을 타고 흐르는 곳이랍니다』",
[노아],"『남쪽바다라면 그 따뜻한 곳을 말하는거야? 그곳 바다는 내가 가봤는데 이렇게 춥진 않았는데』",
[모르가나], "『아뇨, 그곳보다 훨씬 더 남쪽이에요』",
[모르가나], "『우리가 남쪽으로 남쪽으로 갈 수 있는 만큼의 끝엔 얼음이 둥둥 떠다니는 '극한'의 바다가 있고 그곳에서 흘러온 물입니다』",
 ,"모르가나는 놀랄만큼 박식해서 내가 묻는 어떤 것이든 '아 그건 말야'라며 어려워하는 티 없이 설명해주었다",
 ,"그녀는 나보다 어리면서도, 지식의 차이가 이렇게 나니 조금 부끄러웠다",
 ,"하지만 그것보다도 모르가나 해주는 이야기들이 너무나도 재미있어서,\n또 그런 이야기를 열정적으로 말하는 모습이 너무 눈부셔서 그녀를 닮고 싶어졌다",
SpriteChange,0,심해2`0`0`3
SmoothSpriteChange,3,null
LetterBox,1`2,Off
Lobby,,3n1
