ActionName,Target,Parameter
SpriteChange,0,null`0`0`3
SpriteChange,3,노아일상표정2`0`0`3
[노아],『...』,노아일상표정2
[노아],『그닥 좋은 꿈을 꾼 것 같진 않네 도저히 침대에서 나올 기분이 아니야』,노아일상표정2
SmoothSpriteChange,3,노아의기소침
[노아],『하지만 이렇게 일어난 나는 뭘까? 청개구리?』,노아의기소침
[노아],『결국 아무도 자기 마음대로 살 수는 없는거야...하아...』,노아의기소침
SmoothSpriteChange,3,노아일상표정1
[노아],『...이런 생각 그만하고 오늘도 공부나 하자』,노아일상표정1
SmoothSpriteChange,3,null
AddTextbook,,무언가를 만들 때 가장 좋은 방법:제작대`제작대1
AddTextbook,,당신도 부자가 될 수 있다`돼지저금통1
LetterBox,1`2,On
ReadTextbook,,
LetterBox,1`2,Off
SetNextDialogue,,2n1n1
ConnectSubDialogue,,
