ActionName,Target,Parameter
SpriteChange,3,노아일상표정2`3`-6`1.5
 ,노아's view,
[노아],『후우 힘들었다』,노아일상표정2
SmoothSpriteChange,3,노아경멸
[노아],『그 고래놈...』,노아경멸
 ,고래는 섬 주변을 어슬렁 거리더니 하늘 높게 뛰어 파도를 일으켰다,
 ,공중에서 찬란하게 춤추는 물방울들과 압도적인 크기에서 만들어지는 그림자,
 ,고래는 태양조차 능히 삼켜버릴 수 있을 것 같았다,
SmoothSpriteChange,3,노아쓴웃음
 ,그 아름다운 광경의 에프터라고 하는 것이 내 섬이 삼켜지는 씬만 아니면 좋을텐데 말이야,
 ,고래는 지능이 높다던데 그건 분명 일부러야. 너무해. 대체 뭐가 불만이야,
SmoothSpriteChange,3,노아경멸
 ,그 고래가 내가 고생고생해서 만든 성을 부수고 있다는걸 생각하면 정말 화가 치솟는다,
SmoothSpriteChange,3,노아뱅글
[노아],『설마 왕궁에서 보낸 지독한 괴롭힘 같은건 아니겠지?!』,노아뱅글
SmoothSpriteChange,3,노아일상표정2
[노아],"『분명 잘 허락받았다고 들었는데, 사실은 눈치껏 돌아오라는건가...』",노아일상표정2
SmoothSpriteChange,3,노아의기소침
[노아],『...일단 잠이나 잘까』,노아의기소침
SmoothSpriteChange,3,null
 ,분노에는 일단 잠이 최고다. 분노를 이르키는 원인의 첫번째는 원래 자기 자신이다,
 ,잠을 잔 다음에도 분이 사그라들지 않으면 그때 다양하게 생각해봐야지,
 ,...,
Transition,,fade
SpriteChange,0,심해`0`0`3
SpriteChange,3,몰가일상표정`-3`-6`1.5
 ,한편 섬에서 조금 떨어진 바다 어딘가,
[모르가나],『...』,몰가일상표정
SmoothSpriteChange,3,몰가서글픔
[모르가나],『...』,몰가서글픔
SmoothSpriteChange,3,null
[대왕고래],"『모르가나여. 이건 정말로 괜찮은건가?』",
[대왕고래],"『나는 그대를 잘 모르지만, 내가 보기에 그대에게 누군가를 괴롭히는건 어울리지 않아』",
[대왕고래],"『게다가 상대는 공주가 아닌가. 아니 그보다 먼저, 그대의 하나뿐인 친구가 아닌가』",
[모르가나],『...』,몰가서글픔
[대왕고래],"『...이건 가장 큰 기만이자, 모든 것을 배신하는 행위라네』",
[대왕고래],『그대는 최악이야』,
[모르가나],『...알고있어요』,몰가서글픔
 ,그런거 이미 다 알고있다. 책만 읽는 나라도 알 수 있다,
 ,바닷속 가장 깊은 곳의 어둠도 지금의 나를 보면 책망하리라,
 ,어떻게 이런 짓을 할 수 있냐고,
Lobby,,2n1
